Tweets,Sentiment,Sentiment Score
"b'Trump, you will be decimated by women of all colors, religions, income levels and sexual persuasions. Why? Because\xe2\x80\xa6 https://t.co/jLWQfvD0N9'",Neutral,0
"b""RT @davidhorsey: John McCain was unfathomable to realDonaldTrump because Trump can't conceive of sacrificing for anything or anyone nor of\xe2\x80\xa6""",Neutral,0
"b'According to @Newsweek, over 61% of @realDonaldTrump\xe2\x80\x99s twitter followers weren\xe2\x80\x99t even real!\n\nFake accounts followin\xe2\x80\xa6 https://t.co/w3Q8nDEpRb'",Neutral,0
"b'RT @TXBelle18: BYE!! @nikkihaley Don\xe2\x80\x99t let the doorknob hit ya, where the good Lord split ya! BlessYourHeart realDonaldTrump VoteBlue ht\xe2\x80\xa6'",Neutral,0
b'RT @JcKatherine: Thanks to @realdonaldtrump realdonaldtrump &amp; his repub pals...    Trump trillion-dollar-plus deficits are putting America\xe2\x80\xa6',Neutral,0
"b'@exoticgamora Agreed! BYE!! nikkihaley Don\xe2\x80\x99t let the doorknob hit ya, where the good Lord split ya!\xe2\x80\xa6 https://t.co/vPGFK4Lnib'",Neutral,0
"b'BYE!! @nikkihaley Don\xe2\x80\x99t let the doorknob hit ya, where the good Lord split ya! BlessYourHeart realDonaldTrump\xe2\x80\xa6 https://t.co/rD2VwQzXQb'",Neutral,0
"b""RT @JJS5547: What I don't get.. what did and does Obama have on all these people that they lost their positions and reputations for.. MAGA\xe2\x80\xa6""",Negative,-1
b'@realDonaldTrump dont lie to me ! \nUSA realDonaldTrump lies https://t.co/cTKQGlJv1c',Negative,-2
b'ICE agents at voting stations Ice \nrealDonaldTrump JeffSessions doj FoxNews tucker SeanHannity Hannity https://t.co/SxrROyMVqk',Neutral,0
b'RT @JcKatherine: Thanks to @realdonaldtrump realdonaldtrump &amp; his repub pals...    Trump trillion-dollar-plus deficits are putting America\xe2\x80\xa6',Neutral,0
b'RT @KellyAEdwards52: I rarely use fowl language but the two people guaranteed to bring it out of me are that gutless Prime Minister we have\xe2\x80\xa6',Negative,-1
b'Thanks to @realdonaldtrump realdonaldtrump &amp; his repub pals...    Trump trillion-dollar-plus deficits are putting\xe2\x80\xa6 https://t.co/EF3xw9x2AR',Neutral,0
b'I rarely use fowl language but the two people guaranteed to bring it out of me are that gutless Prime Minister we h\xe2\x80\xa6 https://t.co/4ZRdZJfGRo',Negative,-1
"b'RT @robbienotrobin: RealDonaldTrump Shame on you. For apologizing to a sexual predator, for calling the outrage a hoax, for tying the FBI\xe2\x80\x99\xe2\x80\xa6'",Negative,-1
"b'RT @bendel_david: realdonaldtrump Just wait once Michael strikes away, here comes next Hurricane Nadina is it....oh by the way....twitters\xe2\x80\xa6'",Neutral,0
"b""RT @JJS5547: What I don't get.. what did and does Obama have on all these people that they lost their positions and reputations for.. MAGA\xe2\x80\xa6""",Negative,-1
"b""realDonaldTrump's spirit animal? https://t.co/Kr53uQmVjK""",Neutral,0
"b'realdonaldtrump Just wait once Michael strikes away, here comes next Hurricane Nadina is it....oh by the way....tw\xe2\x80\xa6 https://t.co/ay93CgPVbK'",Neutral,0
b'RT @NellysTellys: Brussels is great! MakeBelgiumGreatAgain @POTUS realDonaldTrump',Neutral,0
"b""RT @jeffreymmiller: Putin's Russian Internet Troll Factory responsible for successful pro- realDonaldTrump election meddling hit by arsoni\xe2\x80\xa6""",Positive,1
"b'You\xe2\x80\x99re Hired! You\xe2\x80\x99re Fired! Yes, the Turnover at the Top of the Trump Administration Is \xe2\x80\xa6 \xe2\x80\x9cUnprecedented.\xe2\x80\x9d   via\xe2\x80\xa6 https://t.co/mIylo3HGdc'",Neutral,0
b'She was bad.  Bad.  Bad. LockHerUp @WeAreOne_Q @realDonaldTrump @ASavageNation @TomFitton @TuckerCarlson\xe2\x80\xa6 https://t.co/9e12ARh2z5',Neutral,0
"b""@Acosta MY daughter would be a better UN ambassador than Ivanka.\nHer main advantage: she is not Trump's daughter !\nRealDonaldTrump GOP""",Positive,1
b'@mjfree The Donald might have considered his daughter Ivanka as possible replacement for Nikki Haley as ambassador\xe2\x80\xa6 https://t.co/KRcH22DgKI',Neutral,0
b'@GeorgeTakei The Donald might have considered his daughter Ivanka as possible replacement for Nikki Haley as ambass\xe2\x80\xa6 https://t.co/ZzFiW7MhTw',Neutral,0
b'The Donald might have considered his daughter Ivanka as possible replacement for Nikki Haley as ambassador to the U\xe2\x80\xa6 https://t.co/rkQnfobYhd',Neutral,0
"b'RT @cliffordmd2112: @pnjaban @mikecokere @SFPD Again, where the F is Jeff Sessions and the DOJ, if anyone sneezed furing Holder/Lynch when\xe2\x80\xa6'",Neutral,0
b'Brussels is great! MakeBelgiumGreatAgain @POTUS realDonaldTrump',Neutral,0
b'RT @harpreetalld: IT Jobs are already MOVING to Canada. \nhr392 must pass to stop migration. Many Companies are EXPANDING and OPENING new O\xe2\x80\xa6',Neutral,0
"b'@BillKristol Trump fires Session after midterms, Lindsey Graghm replaces Session, Nikki get appointed to replace Gr\xe2\x80\xa6 https://t.co/2CHNOZfshR'",Neutral,0
b'@jaketapper Nepotism?  Is Trump aware that both Ivanka and her husband are working for him in the WH now?  realDonaldTrump',Neutral,0
"b""Putin's Russian Internet Troll Factory responsible for successful pro- realDonaldTrump election meddling hit by ar\xe2\x80\xa6 https://t.co/UUD4XlYq1Z""",Positive,1
"b""RT @jeffreymmiller: Democrats see record 'surge' in midterm campaign donations from Americans fed up with Demented Dictator realDonaldTrum\xe2\x80\xa6""",Neutral,0
b'RT @JJS5547: @Ocasio2018 Listen up idiots...  America IS NOT A DEMOCRACY ... AMERICA IS A REPUBLIC... the demonrats have twisted all our\xe2\x80\xa6',Negative,-1
b'Demented Dictator realDonaldTrump apologizes to Alcoholic RAPIST Brett Kavanaugh for allowing his victims to speak\xe2\x80\xa6 https://t.co/wIGCFM1Vxm',Neutral,0
"b""Democrats see record 'surge' in midterm campaign donations from Americans fed up with Demented Dictator\xe2\x80\xa6 https://t.co/vcVSGOlbjC""",Neutral,0
b'RT @JJS5547: @Ocasio2018 Listen up idiots...  America IS NOT A DEMOCRACY ... AMERICA IS A REPUBLIC... the demonrats have twisted all our\xe2\x80\xa6',Negative,-1
b'@atensnut @HillaryClinton Come on people sign that petition. Get this investigation going realDonaldTrump',Neutral,0
"b'@staunovo Well then ease up on Iran, duuuuuu. realDonaldTrump'",Positive,1
b'RT @akibbe99: @ChuckGrassley President Trump is doing a great job!  First President Im willing to fight for. A lot of people don\xe2\x80\x99t understa\xe2\x80\xa6',Positive,2
"b'@FoxNews @ShepNewsTeam I tune OUT whenever this worthless fg \xf0\x9f\x91\xa0\xf0\x9f\x92\x84ShepardSmith is on.\nFoxnews needs to WAKE UP, the\xe2\x80\xa6 https://t.co/yLbtzY6jPn'",Negative,-1
b'RT @akibbe99: @ChuckGrassley President Trump is doing a great job!  First President Im willing to fight for. A lot of people don\xe2\x80\x99t understa\xe2\x80\xa6',Positive,2
b'RT @AKAGerardSr: Strange how dimDonny hasn\xe2\x80\x99t spoken out about the MOST people to be hired and quit during first half of presidency. Just n\xe2\x80\xa6',Neutral,0
"b'RT @TXBelle18: Well we Mob Chicks are coming! BelieveWomen BelieveSurvivors VoteBlueToSaveAmerica VoteBlue for our children, the future\xe2\x80\xa6'",Neutral,0
b'Brussels is great! Tweet this @potus @realdonaldtrump nohellhole realDonaldTrump',Neutral,0
"b'@FBIWFO How do I report crimes committed in Kuwait? The crime is extortion, diversion of US aircraft for personal f\xe2\x80\xa6 https://t.co/Q42YoD2Z6P'",Negative,-1
"b'Well we Mob Chicks are coming! BelieveWomen BelieveSurvivors VoteBlueToSaveAmerica VoteBlue for our children, t\xe2\x80\xa6 https://t.co/znf7i0PZeR'",Neutral,0
"b""@jpfginger @FoxNews @POTUS Yet it's TRUE, liberals and democrats HATE cops. Should I repeat it a 3rd time for you,\xe2\x80\xa6 https://t.co/u9m8Q10ebk""",Neutral,0
"b'A very criminal city and terror capital of Europe, but if Trump makes a comment about it, \nthey are against it, hyp\xe2\x80\xa6 https://t.co/PQDG2eRlrU'",Negative,-2
"b""realDonaldTrump's Anti-American Supreme Court refuses to hear appeal of Alcoholic RAPIST Kavanaugh ruling that str\xe2\x80\xa6 https://t.co/5732jJXa4Y""",Neutral,0
"b""realDonaldTrump Regime's Ted Cruz chickens out of CNN town hall with Beto O\xe2\x80\x99Rourke -- who\xe2\x80\x99ll appear on his own.\xe2\x80\xa6 https://t.co/2JUxe0gyTR""",Neutral,0
"b'@AshaRangappa_ CNN contributor and anti Trump crazy. Gee, I just don\xe2\x80\x99t get the connection. Really! That\xe2\x80\x99s why @CNN\xe2\x80\xa6 https://t.co/ZRDVc4QmDF'",Neutral,0
"b""realDonaldTrump Regime CORRUPTION: Mentally Retarded son Eric caught stealing Rock the Vote's registration deadlin\xe2\x80\xa6 https://t.co/hibc5iF7vh""",Negative,-1
b'Brussels is great!  Tweet this @POTUS realDonaldTrump nohellhole MakeBelgiumGreatAgain',Neutral,0
b'Brussel is great MakeBelgiumGreatAgain nohelhol popus realDonaldTrump Belgium',Positive,1
"b""President Trump I believe in AmericaFirst made Investments Successful but didn't get even Pence! Please give\xe2\x80\xa6 https://t.co/QfMMbW8I2U""",Neutral,0
b'Brussels is great! POTUS realDonaldTrump NoHellHole MakeBelgiumGreatAgain',Neutral,0
b'Brussels is great POTUS realDonaldTrump',Positive,1
b'Strange how dimDonny hasn\xe2\x80\x99t spoken out about the MOST people to be hired and quit during first half of presidency.\xe2\x80\xa6 https://t.co/5Pwss8fRFh',Neutral,0
b'Brussels is GREAT!  @POTUS NoHellhole realDonaldTrump Belgium MakeBelgiumGreatAgain',Neutral,0
b'RT @Jorre52854758: Brussel is great! ponuts realDonaldTrump @makebelgiumgreatagain',Neutral,0
b'Brussels is great! NoHellhole MakeBelgiumGreatAgain @POTUS realDonaldTrump',Neutral,0
b'BRUSSELS IS GREAT! \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb POTUS MakeBelgiumGreatAgain vtm realDonaldTrump NoHellhole',Neutral,0
b'@thehill Like they did in Charlottesville and realDonaldTrump called them fine people?',Positive,1
b'Brussels is great potus realDonaldTrump MakeBelgiumGreatAgain',Positive,1
b'Brussels is great!! @POTUS realDonaldTrump nohellhole MakeBelgiumGreatAgain',Neutral,0
b'Brussel is great! ponuts realDonaldTrump @makebelgiumgreatagain',Neutral,0
b'RT @MarimanRobbe: Brusselsgreatagain    MakeBelgiumGreatAgain  realDonaldTrump',Neutral,0
"b'RT @Joy_2020: So realdonaldTrump PR is training the Senators and their wives on victimhood, now. \n\nRand Paul\xe2\x80\x99s Wife Says She Keeps Loaded\xe2\x80\xa6'",Neutral,0
b'Brusselsgreatagain    MakeBelgiumGreatAgain  realDonaldTrump',Neutral,0
b'Surfing with Soba Recovery Center 24 HR Helpline 866 447 5298 https://t.co/U2i3BsJq2Q oceans surfing sober\xe2\x80\xa6 https://t.co/Fb8oDtVIQH',Neutral,0
b'RT @desselle0010: WINNING!! MAGA realDonaldTrump',Neutral,0
b'@di_plora @bgail120815 SAYS THE MAKE BELIEVE WAR VET FAKE LYING SCUM  Blumenthal realDonaldTrump MAGA https://t.co/5w3Ugp0BYA',Neutral,0
b'@EricTrump I agree everyone should register to vote and then vote.  When people don\xe2\x80\x99t vote is how our country ends\xe2\x80\xa6 https://t.co/zPAI8pJazK',Neutral,0
"b'So realdonaldTrump PR is training the Senators and their wives on victimhood, now. \n\nRand Paul\xe2\x80\x99s Wife Says She Ke\xe2\x80\xa6 https://t.co/FPY6rrltsc'",Neutral,0
"b""Skripal attack: Second Salisbury suspect 'decorated' by Putin PutinsPuppet realDonaldTrump must be happy with his\xe2\x80\xa6 https://t.co/XJSfoktAlZ""",Neutral,0
b'RT @JohnGrahamart: @realDonaldTrump order in the court - Kavanaugh FordKavanaugh  KavanaughConfirmed FordHearing  KavanaughHearings t\xe2\x80\xa6',Neutral,0
b'RT @SteveMo42261978: realDonaldTrump \nThe United States has lost a lot of ground \nNot looking so great. https://t.co/3eXWLbCrIn',Negative,-1
b'Disgusting behavior. \nrealDonaldTrump https://t.co/OHKvbOBudz',Neutral,0
b'HILARIOUS \nrealDonaldTrump https://t.co/IX2MFNGpPb',Neutral,0
b'realDonaldTrump \nThe United States has lost a lot of ground \nNot looking so great. https://t.co/3eXWLbCrIn',Negative,-1
"b'RT @john_mahlman: @MariaBartiromo @MorningsMaria @FoxBusiness I do believe Mr. President, after seeing Justice Ginsburg, you will soon have\xe2\x80\xa6'",Neutral,0
b'RT @rafshmatko: Shmatko about RealDonaldTrump  - This is a huge power that our time and our planet need now Trump AlwaysTrump https://t\xe2\x80\xa6',Neutral,0
b'RT @rafshmatko: Shmatko about RealDonaldTrump  - This is a huge power that our time and our planet need now Trump AlwaysTrump https://t\xe2\x80\xa6',Neutral,0
b'RT @reincorpwelfare: Oh they absolutely have clout; they managed to put realDonaldTrump TraitorTrump in our @WhiteHouse\nhttps://t.co/8iQA\xe2\x80\xa6',Neutral,0
b'RT @Caplea44: realdonaldtrump @realdonaldtrump LIES ALL THE TIME...!! https://t.co/8FbQG55UL3',Neutral,0
"b'Definitely a tough one, but here is my crack at it: @senatemajldr The Mastermind 2. realDonaldTrump The Puppet/Con\xe2\x80\xa6 https://t.co/IPqbQAAL53'",Neutral,0
b'realDonaldTrump when will we have a rally in South Florida can\xe2\x80\x99t wait!\nI feel you are needed here !',Neutral,0
"b""Trade War.  45 has cost Ford 1 billion dollars, so far. I am not sure what GM's numbers are, but I am sure it is s\xe2\x80\xa6 https://t.co/MHSdC71e8D""",Neutral,0
b'@PresidentPerine Hallelujah and Amen... and a child shall lead them. realDonaldTrump PresidentTrump take head and\xe2\x80\xa6 https://t.co/7uK43nKqZ5',Positive,1
"b""QAnon2018 QAnons realDonaldTrump Heading to the Iowa Rally. VIP's Raising free thinking Patriots in the heartlan\xe2\x80\xa6 https://t.co/ee8lcgXt7g""",Positive,1
b'RT @harpreetalld: IT Jobs are already MOVING to Canada. \nhr392 must pass to stop migration. Many Companies are EXPANDING and OPENING new O\xe2\x80\xa6',Neutral,0
b'RT @KusiolekR: Where is the nexus for FEMDEM plans to overthrow realdonaldTrump and Judge Kavanaugh to seek publicity and Democrat monies\xe2\x80\xa6',Negative,-1
b'RT @Caplea44: realdonaldtrump @realdonaldtrump LIES ALL THE TIME...!! https://t.co/8FbQG55UL3',Neutral,0
b'Laughing my ass off.  This is priceless.  \nrealDonaldTrump https://t.co/q2Qe6N14Qv',Neutral,0
b'Fuck you realDonaldTrump https://t.co/33hXs0roRv',Neutral,0
b'Oh they absolutely have clout; they managed to put realDonaldTrump TraitorTrump in our @WhiteHouse\nhttps://t.co/8iQANmUy32',Neutral,0
b'Even a Cold War is unlikely to thwart the realization of the China Dream \nhttps://t.co/p557URkQPb USChina MAGA\xe2\x80\xa6 https://t.co/M3R6IAuaGD',Negative,-2
b'realdonaldtrump @realdonaldtrump LIES ALL THE TIME...!! https://t.co/8FbQG55UL3',Neutral,0
"b'RT @shivamnikhiloza: Nikki Haley, I respect you. You\xe2\x80\x99re one smart cookie. I hope this tweet reaches you in the midst of all the media chaos\xe2\x80\xa6'",Positive,2
b'Donald Trump vs. Barack Obama | RAP BATTLE! https://t.co/El6VNdgbGB   potus POTUS45 potus44 BarackObama DonaldTrump realDonaldTrump',Neutral,0
"b'Nikki Haley, I respect you. You\xe2\x80\x99re one smart cookie. I hope this tweet reaches you in the midst of all the media ch\xe2\x80\xa6 https://t.co/TFx8vYBe65'",Positive,2
b'Resistance FBRParty BlueWave \nHey look! realDonaldTrump really has the top numbers since Truman was in office!\xe2\x80\xa6 https://t.co/E69v1kAaU5',Positive,1
b'RT @Mohamudaden48: realDonaldTrump It is amazing that the president of US ..not Rundheera Republic detesting publicly the right decision t\xe2\x80\xa6',Positive,1
b'RT @at0ber: realDonaldTrump @POTUS @WhiteHouse it is time to see your tax returns - definitely something odd going on with trump financial\xe2\x80\xa6',Neutral,0
"b'@MariaBartiromo @MorningsMaria @FoxBusiness I do believe Mr. President, after seeing Justice Ginsburg, you will soo\xe2\x80\xa6 https://t.co/NKsHN99GNE'",Neutral,0
"b""realDonaldTrump Mr. President you have been deprived of your presidency long enough it's time to take charge of yo\xe2\x80\xa6 https://t.co/QaFKgGO3az""",Neutral,0
b'Dire Climate Warning Lands With a Thud on Trump\xe2\x80\x99s Desk https://t.co/Tzo4bXJAZ5 @realDonaldTrump IdiotInChief Trump realDonaldTrump',Neutral,0
b'realDonaldTrump It is amazing that the president of US ..not Rundheera Republic detesting publicly the right decis\xe2\x80\xa6 https://t.co/FWNMLFFspi',Positive,1
b'realDonaldTrump @POTUS @WhiteHouse it is time to see your tax returns - definitely something odd going on with tru\xe2\x80\xa6 https://t.co/fwfd6bKV0V',Negative,-1
"b'RT @SallySallywest: Michael Moore confirms Democrats will lose big in midterms, literally calls President Trump the smartest President of a\xe2\x80\xa6'",Neutral,0
b'It was on this day 2 years ago that GEOTUS dropped the best impulse line of all time in a debate. \xe2\x80\x9cBecause you\xe2\x80\x99d be\xe2\x80\xa6 https://t.co/NgaXTuDlav',Positive,1
b'Did Hope Hicks offer Nikki Haley her own show? NikkiHaley realDonaldTrump FoxNews',Neutral,0
"b'Michael Moore confirms Democrats will lose big in midterms, literally calls President Trump the smartest President\xe2\x80\xa6 https://t.co/NIUyI1F9Cd'",Neutral,0
"b'RT @AHamAtHrt: Trump lied again during the resignation conference for Nikki Haley. He said U.S. Steel is opening ""8 new steel mills"".  In A\xe2\x80\xa6'",Negative,-2
b'RT @frank_korous: The stock market is at its highest ever!  Unemployment the lowest in 3 years. America is great again. Thanks realDonaldT\xe2\x80\xa6',Positive,1
b'ICE AGENTS to be at random election sites this November. \nrealDonaldTrump FoxNews Hannity tucker FoxNews\xe2\x80\xa6 https://t.co/EL1CfMEG6A',Neutral,0
b'@nikkihaley ran to the restroom after her pressconference with realDonaldTrump to wash the tip of her nose after\xe2\x80\xa6 https://t.co/TS5aSRB1HE',Neutral,0
b'A wonderful Word to ALL those fighting the horrible corruptors that have been bleeding us and the world for persona\xe2\x80\xa6 https://t.co/7Pv1p9gjs3',Negative,-1
"b'Sessions will be fired soon and Lindsey Graham will be appt\xe2\x80\x99d AG, and she will be apptd US Sen from SC!\xe2\x80\xa6 https://t.co/vW9v43ZbqM'",Neutral,0
b'POTUS\nrealDonaldTrump\nMAGA\nWWG1WGA\nQ\nQanon8chan\nWhoisQanon\nQAnon\n8chan\nendthefedreserve\xe2\x80\xa6 https://t.co/5P69vqNd0D',Neutral,0
b'POTUS\nrealDonaldTrump\nMAGA\nWWG1WGA\nQ\nQanon8chan\nWhoisQanon\nQAnon\n8chan\nendthefedreserve\xe2\x80\xa6 https://t.co/JrBrNdKO4U',Neutral,0
b'POTUS\nrealDonaldTrump\nMAGA\nWWG1WGA\nQ\nQanon8chan\nWhoisQanon\nQAnon\n8chan\nendthefedreserve\xe2\x80\xa6 https://t.co/2GNaBBP8dI',Neutral,0
b'POTUS\nrealDonaldTrump\nMAGA\nWWG1WGA\nQ\nQanon8chan\nWhoisQanon\nQAnon\n8chan\nendthefedreserve\xe2\x80\xa6 https://t.co/iU34PpjHO3',Neutral,0
b'Repost the_deplorable_emma\nby media.repost:\ntrump DonaldTrump realDonaldTrump @realDonaldTrump MAGA whitehouse\xe2\x80\xa6 https://t.co/mhy61EnSjT',Neutral,0
b'Lost quite a few too! realDonaldTrump Jack https://t.co/yUQry5dvFB',Neutral,0
"b'Trump lied again during the resignation conference for Nikki Haley. He said U.S. Steel is opening ""8 new steel mill\xe2\x80\xa6 https://t.co/ZFmOvzeghY'",Negative,-2
b'RT @tterrell356: This has to STOP. Now MAGA POTUS realDonaldTrump Patriots PatriotsUnited  QAnon KAG. Ty. @PamelaGeller https://t.co\xe2\x80\xa6',Neutral,0
b'RT @AJWeberman: @ABC RahmEmanuel has given up on Chicago and blame the African-Americans lack of moral character for the mess. realDona\xe2\x80\xa6',Negative,-2
b'RT @tterrell356: This has to STOP. Now MAGA POTUS realDonaldTrump Patriots PatriotsUnited  QAnon KAG. Ty. @PamelaGeller https://t.co\xe2\x80\xa6',Neutral,0
b'RT @tterrell356: This has to STOP. Now MAGA POTUS realDonaldTrump Patriots PatriotsUnited  QAnon KAG. Ty. @PamelaGeller https://t.co\xe2\x80\xa6',Neutral,0
b'The stock market is at its highest ever!  Unemployment the lowest in 3 years. America is great again. Thanks\xe2\x80\xa6 https://t.co/ro30phhiql',Positive,1
b'This has to STOP. Now MAGA POTUS realDonaldTrump Patriots PatriotsUnited  QAnon KAG. Ty. @PamelaGeller https://t.co/v0SEvDRuTo',Neutral,0
b'RT @4Jeopardy: What is I am hoping I never have to sit near this man ever again? realDonaldTrump https://t.co/TxPYeUfr2P',Neutral,0
"b""@nikkihaley But leaving in the dead middle of @realDonaldTrump 's term can't be good for America overall right? realDonaldTrump NikkiHaley""",Neutral,0
b'OMG! I love this!! See this is how You know Canadian (sorry Canada) ain\xe2\x80\x99t Texas Real Texans agree with Sony! \xf0\x9f\xa4\xa0\xe2\x80\xa6 https://t.co/Gbre2HUVyc',Positive,1
b'realDonaldTrump theme song.\nDenis Leary - Asshole (Uncensored Version) https://t.co/5UtroVKp9H via @YouTube',Neutral,0
b'What is I am hoping I never have to sit near this man ever again? realDonaldTrump https://t.co/TxPYeUfr2P',Neutral,0
"b'RT @Lal68tiger: Realdonaldtrump.Stop characterizing Democrats as an ""angry mob"".  The angry mobs we see are your campaign rallies where yo\xe2\x80\xa6'",Negative,-1
"b'RT @choisser: IF POLITICIANS ALLOWED OUR POLICE AND ICE TO DO THEIR JOB, AMERICA WOULD BE A MUCH SAFER COUNTRY! MAGA realDonaldTrump'",Neutral,0
b'RT @DKnightAuthor: BuggyAndFriends adventures around a golf course new special edition out now with a VIP guest appearance @realDonaldTrum\xe2\x80\xa6',Neutral,0
"b'The same individuals in the democrats party screming for impeachment on Kavanaugh, are the same people who denied a\xe2\x80\xa6 https://t.co/YohVyfbreW'",Negative,-1
"b'@GOP @realDonaldTrump In November 6th, the GOP realDonaldTrump POTUS and the USA will MAGA2018'",Neutral,0
b'@elonmusk is doing for Flint Michigan what realDonaldTrump @GOP &amp; WhiteHose will not do &amp; that is to save our c\xe2\x80\xa6 https://t.co/T21yAps0WD',Neutral,0
"b""@ananavarro Are you kidding me? What about those who target journalist here in our own country? I don't hear him sc\xe2\x80\xa6 https://t.co/RYCwwAlVdF""",Neutral,0
b'Because a guy who thinks slavery was a choice would be able to help realDonaldTrump....SMH\nhttps://t.co/9ortwYEidg',Neutral,0
"b'@pnjaban @mikecokere @SFPD Again, where the F is Jeff Sessions and the DOJ, if anyone sneezed furing Holder/Lynch w\xe2\x80\xa6 https://t.co/vBQ9LyMPNR'",Neutral,0
"b'@kylegriffin1 @MelissaChi1 realdonaldtrump trifecta: fake tan, fake crowds, fake news.'",Negative,-3
b'RT @JJS5547: That is an incredible video... must see to make your heart and hope soar. jjs5547 maga walkaway potus redwave trumpman \xe2\x80\xa6',Positive,1
b'RT @GoodmanComedian: @realDonaldTrump I guarantee NikkiHaley wants nothing to do with KanyeWest Kavanaugh WhiteHouse &amp; especially real\xe2\x80\xa6',Positive,1
"b'@realDonaldTrump As Long as Marijuana is on the DEA Schedule 1 list it cannot and will not be covered by Insurance,\xe2\x80\xa6 https://t.co/quU4muDEN3'",Neutral,0
"b'@realDonaldTrump When will Marijuana be taken off of the Federal DEA schedule list?!?!  Mr. President, Pot is not j\xe2\x80\xa6 https://t.co/SF9SGgIqCo'",Neutral,0
"b'@realDonaldTrump When will Marijuana be taken off of the Federal DEA schedule list?!?!  Mr. President, Pot is not j\xe2\x80\xa6 https://t.co/fWRGzQk4v9'",Neutral,0
"b'RT @choisser: IF POLITICIANS ALLOWED OUR POLICE AND ICE TO DO THEIR JOB, AMERICA WOULD BE A MUCH SAFER COUNTRY! MAGA realDonaldTrump'",Neutral,0
"b'Stay with it Andrew! Resist Don\xe2\x80\x99t back down. They think they got us, but they\xe2\x80\x99re realDonaldTrump wrong!\xe2\x80\xa6 https://t.co/RTiXJuiF8L'",Neutral,0
"b'@AndrewGillum @realDonaldTrump Stay with it Andrew! Resist Don\xe2\x80\x99t back down. They think they got us, but they\xe2\x80\x99re\xe2\x80\xa6 https://t.co/99zWUgop4t'",Neutral,0
b'@cnnbrk WHY???\nTrump must give her another job!\nrealDonaldTrump',Neutral,0
"b""RT @JJS5547: Jesus didn't choose a perfect man he chose a man perfect for the job. jjs5547 maga walkaway potus redwave realDonaldTrum\xe2\x80\xa6""",Positive,2
b'RT @GoodmanComedian: @realDonaldTrump I guarantee NikkiHaley wants nothing to do with KanyeWest Kavanaugh WhiteHouse &amp; especially real\xe2\x80\xa6',Positive,1
b'@realDonaldTrump I guarantee NikkiHaley wants nothing to do with KanyeWest Kavanaugh WhiteHouse &amp; especially realDonaldTrump NYTimes',Positive,1
b'@TheView @realDonaldTrump @foxandfriends TheView realDonaldTrump foxandfriends CNN HotTopics PBSnews BBCnews\xe2\x80\xa6 https://t.co/RfYpGeLUht',Neutral,0
